Promedio_CGPA,Ingreso_familiar
310.0,70000.0
4.67,100000.0
4.0,40000.0
3.99,40000.0
3.98,40000.0
3.97,30000.0
3.96,42000.0
3.95,50000.0
3.94,100000.0
3.93,50000.0
3.92,40000.0
3.91,100000.0
3.9,60000.0
3.89,30000.0
3.88,200000.0
3.87,87000.0
3.86,20000.0
3.85,30000.0
3.84,50000.0
3.83,35000.0
3.82,50000.0
3.81,35000.0
3.8,23000.0
3.79,50000.0
3.78,50000.0
3.77,35000.0
3.76,40000.0
3.75,15000.0
3.74,40000.0
3.73,20000.0
3.72,100000.0
3.71,60000.0
3.7,50000.0
3.69,50000.0
3.68,50000.0
3.67,30000.0
3.66,25000.0
3.65,30000.0
3.64,32500.0
3.63,90000.0
3.62,33000.0
3.61,65000.0
3.6,30000.0
3.59,
3.58,30000.0
3.57,40000.0
3.56,27000.0
3.55,150000.0
3.54,34000.0
3.53,20000.0
3.52,350000.0
3.51,40000.0
3.5,40000.0
3.49,41000.0
3.48,20000.0
3.47,30000.0
3.46,300000.0
3.45,
3.44,15000.0
3.43,100000.0
3.42,70000.0
3.41,30000.0
3.4,
3.39,16000.0
3.38,60000.0
3.37,25000.0
3.36,40000.0
3.35,
3.34,19000.0
3.33,20000.0
3.32,8000.0
3.31,60000.0
3.3,40000.0
3.295,25000.0
3.29,60000.0
3.28,85000.0
3.27,40000.0
3.26,15000.0
3.25,30000.0
3.24,80000.0
3.23,28000.0
3.22,50000.0
3.21,
3.2,15000.0
3.19,70000.0
3.18,80000.0
3.17,40000.0
3.16,20000.0
3.15,40000.0
3.14,40000.0
3.13,15000.0
3.12,25000.0
3.11,90000.0
3.1,30000.0
3.09,2000000.0
3.08,20000.0
3.07,
3.06,15000.0
3.05,20000.0
3.03,40000.0
3.02,50000.0
3.01,50000.0
3.0,70000.0
2.99,
2.98,25000.0
2.97,50000.0
2.96,20000.0
2.95,50000.0
2.94,50000.0
2.93,65000.0
2.92,15000.0
2.91,35000.0
2.9,15000.0
2.89,90000.0
2.88,80000.0
2.87,70000.0
2.86,50000.0
2.85,50000.0
2.84,30000.0
2.83,135000.0
2.82,25000.0
2.81,40000.0
2.8,18000.0
2.79,54000.0
2.78,57000.0
2.77,30000.0
2.76,50000.0
2.75,40000.0
2.74,20000.0
2.73,40000.0
2.72,45000.0
2.71,75000.0
2.7,70000.0
2.69,20000.0
2.68,60000.0
2.67,80000.0
2.66,60000.0
2.65,20000.0
2.64,20000.0
2.63,70000.0
2.62,55000.0
2.61,60000.0
2.6,25000.0
2.59,55000.0
2.57,80000.0
2.56,30000.0
2.55,35000.0
2.54,80000.0
2.53,30000.0
2.52,210000.0
2.51,50000.0
2.5,25000.0
2.49,255000.0
2.47,87000.0
2.46,50000.0
2.45,40000.0
2.44,20000.0
2.43,30000.0
2.42,60000.0
2.41,50000.0
2.4,
2.39,112000.0
2.38,30000.0
2.37,56000.0
2.35,56000.0
2.33,93000.0
2.31,50000.0
2.3,50000.0
2.25,60000.0
2.22,4000.0
2.2,
2.19,60000.0
2.16,60000.0
2.1,25000.0
2.08,35000.0
2.0,25000.0
1.88,60000.0
1.64,60000.0
1.45,40000.0
1.42,50000.0
0.0,25000.0
,500000.0
